TestFunction,DrawMethod,dim,nPoints,log2n,shift,baker,rDrawn,mean,var,skew,kurt,MeanOfMeans,MedianOfMeans,LeeValiant,MinskerNdaoud(3),MinskerNdaoud(2),MinskerNdaoud(3;1.0)
IndSumNormal,Lat,4,64,6,rqmc,True,7,-0.00047244143145706093,0.0008209956811523441,0.03241173724783077,2.6545043275078406,0.00011831541731077133,0.00021166139444288708,0.0002170746335456831,0.00022723148402555742,0.00016261266234790303,0.00018400062348607684
IndSumNormal,Lat,4,64,6,rqmc,True,11,-0.00047244143145706093,0.0008209956811523441,0.03241173724783077,2.6545043275078406,7.483442344210645e-05,0.00014604746890231173,0.0001475822188624596,0.0001243111288200673,9.346931064546489e-05,9.534574147465826e-05
IndSumNormal,Lat,4,64,6,rqmc,True,11,-0.0002583789314570597,0.0007026663183593751,-0.0017931563419541737,2.8150435190375958,6.43677069399862e-05,0.00011941353433073893,0.00011822468920641657,0.00010184137348932061,7.815422210803564e-05,8.06219901997558e-05
IndSumNormal,Lat,4,64,6,rqmc,True,15,-0.00047244143145706093,0.0008209956811523441,0.03241173724783077,2.6545043275078406,5.486129598698968e-05,0.000114471048010176,0.00011412809393480402,7.98376734818211e-05,6.468207804963761e-05,6.399411411114951e-05
IndSumNormal,Lat,4,64,6,rqmc,True,15,-0.0002583789314570597,0.0007026663183593751,-0.0017931563419541737,2.8150435190375958,4.7738372558078445e-05,9.40544966659821e-05,9.09033839975604e-05,6.584136324795203e-05,5.477833575782418e-05,5.375255829227159e-05
IndSumNormal,Lat,4,64,6,rqmc,True,19,-0.0002583789314570597,0.0007026663183593751,-0.0017931563419541737,2.8150435190375958,3.76834312690411e-05,7.69006775719796e-05,7.310293792424316e-05,4.882878971130716e-05,4.227021184122683e-05,4.1455243853663304e-05
IndSumNormal,Lat,4,64,6,rqmc,True,19,-0.00047244143145706093,0.0008209956811523441,0.03241173724783077,2.6545043275078406,4.2868791765663595e-05,9.418290488171055e-05,9.218461608737458e-05,5.6744563029882425e-05,4.8382932848913165e-05,4.7581365952890066e-05
IndSumNormal,Lat,4,64,6,rqmc,True,23,-0.0002583789314570597,0.0007026663183593751,-0.0017931563419541737,2.8150435190375958,3.0749859858516915e-05,6.560109658502287e-05,6.11087114050251e-05,3.801039920515565e-05,3.3916544697910276e-05,3.3098073786035916e-05
IndSumNormal,Lat,4,64,6,rqmc,True,23,-0.00047244143145706093,0.0008209956811523441,0.03241173724783077,2.6545043275078406,3.532058055540871e-05,8.138445609296368e-05,7.822077606754518e-05,4.5129134060268604e-05,3.965489091719369e-05,3.871151224918706e-05
IndSumNormal,Lat,4,64,6,rqmc,True,27,-0.00047244143145706093,0.0008209956811523441,0.03241173724783077,2.6545043275078406,3.0098186565427887e-05,7.333013780257982e-05,6.951464499757965e-05,3.690649348300072e-05,3.300915563826277e-05,3.2378187013645686e-05
IndSumNormal,Lat,4,64,6,rqmc,True,27,-0.0002583789314570597,0.0007026663183593751,-0.0017931563419541737,2.8150435190375958,2.5982332083935555e-05,5.490587240313032e-05,5.115263571338253e-05,3.1357903923879735e-05,2.8617764030300575e-05,2.771903485480622e-05
IndSumNormal,Lat,4,64,6,rqmc,True,31,-0.0002583789314570597,0.0007026663183593751,-0.0017931563419541737,2.8150435190375958,2.2808802666812105e-05,5.0036342315240214e-05,4.5763295108775804e-05,2.6588678234783047e-05,2.4421995203872042e-05,2.3960647075894763e-05
IndSumNormal,Lat,4,64,6,rqmc,True,31,-0.00047244143145706093,0.0008209956811523441,0.03241173724783077,2.6545043275078406,2.6224251374337647e-05,6.463850278871805e-05,6.0592759380363914e-05,3.102366469912152e-05,2.837185125145998e-05,2.7801751830411482e-05
IndSumNormal,Lat,4,256,8,rqmc,True,7,-0.00017322268145689433,0.00013195956481933615,-0.06519089358967046,2.855413829672079,1.8883416442415825e-05,3.0151926590375845e-05,3.1496046039908185e-05,3.609982861286892e-05,2.5225028653023608e-05,2.8232112305841096e-05
IndSumNormal,Lat,4,256,8,rqmc,True,11,-0.00017322268145689433,0.00013195956481933615,-0.06519089358967046,2.855413829672079,1.200506728631761e-05,2.0326243136731626e-05,2.1145384814658893e-05,1.929874452843948e-05,1.4609105213405671e-05,1.4931209834421025e-05
IndSumNormal,Lat,4,256,8,rqmc,True,11,-2.6347681456933502e-05,7.286863708496099e-05,0.08774118573235203,2.9907679690543802,6.597373172544376e-06,1.1156576042714828e-05,1.1281497034670036e-05,9.932389590235153e-06,7.857082829973616e-06,7.872976364006409e-06
IndSumNormal,Lat,4,256,8,rqmc,True,15,-0.00017322268145689433,0.00013195956481933615,-0.06519089358967046,2.855413829672079,8.895219815893444e-06,1.558197247282589e-05,1.6085042030745772e-05,1.2334907422163066e-05,1.0283024346844254e-05,1.0061791615381979e-05
IndSumNormal,Lat,4,256,8,rqmc,True,15,-2.6347681456933502e-05,7.286863708496099e-05,0.08774118573235203,2.9907679690543802,4.837681775105951e-06,8.532840858191593e-06,8.44597708980127e-06,6.476140650237155e-06,5.476251807737578e-06,5.329374105646853e-06
IndSumNormal,Lat,4,256,8,rqmc,True,19,-2.6347681456933502e-05,7.286863708496099e-05,0.08774118573235203,2.9907679690543802,3.832923281350867e-06,7.140122427543049e-06,6.993872131451119e-06,4.926588631277653e-06,4.251167732341801e-06,4.166370334878845e-06
IndSumNormal,Lat,4,256,8,rqmc,True,19,-0.00017322268145689433,0.00013195956481933615,-0.06519089358967046,2.855413829672079,7.11345340106952e-06,1.2739541807503044e-05,1.3095427026462602e-05,9.19887678664353e-06,7.913218300315692e-06,7.800713586856026e-06
IndSumNormal,Lat,4,256,8,rqmc,True,23,-0.00017322268145689433,0.00013195956481933615,-0.06519089358967046,2.855413829672079,5.835040918251501e-06,1.0508608168311454e-05,1.0711870621866112e-05,7.197746823327011e-06,6.355445952116151e-06,6.2694755275415096e-06
IndSumNormal,Lat,4,256,8,rqmc,True,23,-2.6347681456933502e-05,7.286863708496099e-05,0.08774118573235203,2.9907679690543802,3.1474035541349435e-06,6.106537528034557e-06,5.895055469919508e-06,3.906835949822249e-06,3.4524415587675524e-06,3.384221846751088e-06
IndSumNormal,Lat,4,256,8,rqmc,True,27,-0.00017322268145689433,0.00013195956481933615,-0.06519089358967046,2.855413829672079,4.906575253624293e-06,9.320373214777195e-06,9.44120843702732e-06,5.831110890376581e-06,5.322861589329244e-06,5.1850465674702595e-06
