file,TestFunction,dim,DrawMethod,shift,log2n,baker,rDrawn,mean,var,skewness,kurtosis,    ,MSE[A_r],MSE[M_r],MSE[L_r],MSE[N(3)_r],MSE[N(2)_r],MSE[N(3;1.0)_r]
RepsFixedparRQMC/Fper2-4-Lat-RS-6-10000.dat,Fper2,4,Lat,RS,6,False,11,1.82509799998984e-06,5.91157264633243e-07,-0.0499824622464176,2.19068858414888,    ,5.37449004948226e-08,9.83536356387086e-08,1.11667930258359e-07,9.99609349896171e-08,7.01136503802117e-08,7.40836026488714e-08
RepsFixedparRQMC/Fper2-4-Lat-RS-6-10000.dat,Fper2,4,Lat,RS,6,False,15,1.82509799998984e-06,5.91157264633243e-07,-0.0499824622464176,2.19068858414888,    ,3.94138152915924e-08,7.32725609255785e-08,8.42344323328795e-08,6.23467379101576e-08,4.85687989272829e-08,4.8581879871934e-08
RepsFixedparRQMC/Fper2-4-Lat-RS-6-10000.dat,Fper2,4,Lat,RS,6,False,19,1.82509799998984e-06,5.91157264633243e-07,-0.0499824622464176,2.19068858414888,    ,3.11168712265645e-08,5.78588435873162e-08,6.75438021094082e-08,4.57905738556246e-08,3.70930630318863e-08,3.7142176774948e-08
RepsFixedparRQMC/Fper2-4-Lat-RS-6-10000.dat,Fper2,4,Lat,RS,6,False,23,1.82509799998984e-06,5.91157264633243e-07,-0.0499824622464176,2.19068858414888,    ,2.57058207493723e-08,4.74988291288919e-08,5.58580855857018e-08,3.51386677724195e-08,2.97491919682488e-08,2.95526644800715e-08
RepsFixedparRQMC/Fper2-4-Lat-RS-6-10000.dat,Fper2,4,Lat,RS,6,False,27,1.82509799998984e-06,5.91157264633243e-07,-0.0499824622464176,2.19068858414888,    ,2.18980444876445e-08,4.0343608205797e-08,4.78056588930971e-08,2.86229608052735e-08,2.47058628336663e-08,2.46702475705257e-08
RepsFixedparRQMC/Fper2-4-Lat-RS-6-10000.dat,Fper2,4,Lat,RS,6,False,31,1.82509799998984e-06,5.91157264633243e-07,-0.0499824622464176,2.19068858414888,    ,1.90729201644271e-08,3.54127298611522e-08,4.21102008149795e-08,2.40229763917373e-08,2.14979606853168e-08,2.12454957170345e-08
RepsFixedparRQMC/Fper2-4-Lat-RSB-6-10000.dat,Fper2,4,Lat,RS,6,True,11,-3.10715128769823e-06,5.84229066973663e-07,-0.0504642114021976,2.20055845644179,    ,5.31213877503667e-08,9.85379392336477e-08,1.11289616553788e-07,1.01709448945359e-07,7.12818414112437e-08,7.55571435824882e-08
RepsFixedparRQMC/Fper2-4-Lat-RSB-6-10000.dat,Fper2,4,Lat,RS,6,True,15,-3.10715128769823e-06,5.84229066973663e-07,-0.0504642114021976,2.20055845644179,    ,3.89582588540355e-08,7.05520424045132e-08,8.11681985618531e-08,6.11149751845711e-08,4.75245085729412e-08,4.78281940025781e-08
RepsFixedparRQMC/Fper2-4-Lat-RSB-6-10000.dat,Fper2,4,Lat,RS,6,True,19,-3.10715128769823e-06,5.84229066973663e-07,-0.0504642114021976,2.20055845644179,    ,3.07585526508964e-08,5.73693134364436e-08,6.65794978805665e-08,4.44743415239802e-08,3.61840899700706e-08,3.61774586597952e-08
RepsFixedparRQMC/Fper2-4-Lat-RSB-6-10000.dat,Fper2,4,Lat,RS,6,True,23,-3.10715128769823e-06,5.84229066973663e-07,-0.0504642114021976,2.20055845644179,    ,2.54109181705882e-08,4.78669278019558e-08,5.61902026860253e-08,3.44915307994071e-08,2.93314752935719e-08,2.90938788581225e-08
