TestFunction,DrawMethod,dim,nPoints,log2n,shift,baker,rDrawn,mean,var,skew,kurt,MSE[A_r],MSE[M_r],datfile,ratio
MC2,Sob-NUS,16,16384,14,nus,False,11,1.5626335091741892e-08,3.24532961285474e-13,0.0108474001244639,3.812675060635704,2.950299648049764e-14,1.5353238443797336e-14,MC2-16-Sob-NUS-14-10000.dat,1.9216139050075631
SmoothPerB4,Sob,8,65536,16,rqmc,False,11,-1.884195570633767e-07,3.008894670659469e-10,0.0189426601065803,1.2419069665243372,2.735358791508608e-11,1.7157250297859927e-10,SmoothPerB4-8-Sob-RDS-16-10000.dat,0.15942873968853838
MC2,Sob-NUS,8,16384,14,nus,False,11,1.1275355901437088e-09,6.142269852498726e-14,-0.0284017550249417,4.532926997268522,5.583881684089751e-15,5.482421481557945e-15,MC2-8-Sob-NUS-14-10000.dat,1.0185064579352578
SumUeU,Sob-LMS,4,65536,16,rqmc,False,11,-2.638517466020852e-09,2.0356756709338363e-14,-48.6186744905248,3141.453307976069,1.8506142463034877e-15,5.799968472029388e-29,SumUeU-4-Sob-LMS-RDS-16-10000.dat,31907315621251.375
IndSumNormal,Sob-LMS,4,64,6,rqmc,False,11,-4.1191431457054e-05,0.0006746602319335,0.0596735365825147,2.930365884206757,6.133274835759944e-05,0.0001134777022481,IndSumNormal-4-Sob-LMS-RDS-6-10000.dat,0.5404828185849733
SumUeU,Lat-Rp,32,65536,16,rqmc,True,11,7.830957566587326e-12,7.565104357150861e-18,0.0811197301576637,4.792815364978182,6.877367597409873e-19,6.885102727251959e-19,SumUeU-32-Lat-Rpv-RSB-16-10000.dat,0.9988765411136904
SmoothPerB4,Lat-Rv,4,65536,16,qmc,False,11,3.096337008804015e-05,5.744291278861342e-06,80.36541847645904,6785.2083105164975,3.891468292866867e-07,5.025380847983103e-20,SmoothPerB4-4-Lat-Rv-16-10000.dat,7743628613597.868
SmoothGauss,Lat-Rv,4,64,6,qmc,True,11,0.0021264355727532,0.0002536133886405,-1.0595919601830648,4.112502513240902,2.756175394983168e-05,8.436037796859133e-05,SmoothGauss-4-Lat-Rv-B-6-10000.dat,0.3267144435992611
SumUeU,Lat-Rv,4,64,6,qmc,False,11,-0.0845852612717224,4.683669031755319e-33,0.4942771996031546,6.130974351812555,0.0071546664244055,0.0071546664244055,SumUeU-4-Lat-Rv-6-10000.dat,1.0
SumUeU,Lat-Rv,4,256,8,qmc,False,11,-0.0212140112653524,3.623755153573678e-33,0.3778655237235028,19.96013269063322,0.0004500342739665,0.0004500342739665,SumUeU-4-Lat-Rv-8-10000.dat,1.0
SumUeU,Lat-Rv,4,1024,10,qmc,False,11,-0.0053077338506446,3.43101019122528e-33,-0.4028746121455819,73.26959215727058,2.817203862927872e-05,2.817203862927872e-05,SumUeU-4-Lat-Rv-10-10000.dat,1.0
SumUeU,Lat-Rv,8,64,6,qmc,False,11,-0.1691705225434448,1.4722424792478236e-32,0.2598923705189763,4.4200387961977885,0.0286186656976221,0.0286186656976221,SumUeU-8-Lat-Rv-6-10000.dat,1.0
SumUeU,Lat-Rv,8,256,8,qmc,False,11,-0.0424280225307049,8.976504285071275e-33,0.022131405241553,11.160833862775185,0.001800137095866,0.001800137095866,SumUeU-8-Lat-Rv-8-10000.dat,1.0
SumUeU,Lat-Rv,8,1024,10,qmc,False,11,-0.0106154677012892,6.414096322855037e-33,1.2481882230899766,42.75649287298614,0.0001126881545171,0.0001126881545171,SumUeU-8-Lat-Rv-10-10000.dat,1.0
SumUeU,Lat-Rv,16,64,6,qmc,False,11,-0.3383410450868899,6.438676545438075e-32,-0.3395696717463334,3.4766374776402773,0.1144746627904889,0.1144746627904889,SumUeU-16-Lat-Rv-6-10000.dat,1.0
SumUeU,Lat-Rv,16,256,8,qmc,False,11,-0.08485604506141,2.5203104438240245e-32,0.1127946370052588,5.561601874145769,0.007200548383464,0.007200548383464,SumUeU-16-Lat-Rv-8-10000.dat,1.0
SumUeU,Lat-Rv,16,256,8,qmc,True,11,0.0003610478229141,2.4513243014258372e-32,-0.0163656831311024,3.323581987184572,1.303555304310521e-07,1.303555304310521e-07,SumUeU-16-Lat-Rv-B-8-10000.dat,1.0
SumUeU,Lat-Rv,16,1024,10,qmc,False,11,-0.0212309354025784,1.7071683768291507e-32,0.0279156513068033,19.76328458867436,0.0004507526180684,0.0004507526180684,SumUeU-16-Lat-Rv-10-10000.dat,1.0
SumUeU,Lat-Rv,16,4096,12,qmc,False,11,-0.0053087916098085,1.2529640402409135e-32,0.6785927262675551,62.721961206349576,2.818326835637403e-05,2.818326835637403e-05,SumUeU-16-Lat-Rv-12-10000.dat,1.0
SumUeU,Lat-Rv,32,64,6,qmc,False,11,-0.6766820901737828,3.616890272583407e-31,0.2931817306998405,3.159490245132192,0.4578986511619594,0.4578986511619594,SumUeU-32-Lat-Rv-6-10000.dat,1.0
SumUeU,Lat-Rv,32,64,6,qmc,True,11,0.0115532174943963,5.036063568648442e-31,0.0205679368934615,3.108185909411461,0.0001334768344728,0.0001334768344728,SumUeU-32-Lat-Rv-B-6-10000.dat,1.0
SumUeU,Lat-Rv,32,256,8,qmc,False,11,-0.1697120901228201,9.79343080440687e-32,0.0298316996558247,3.565691277044748,0.0288021935338562,0.0288021935338562,SumUeU-32-Lat-Rv-8-10000.dat,1.0
SumUeU,Lat-Rv,32,1024,10,qmc,False,11,-0.042461870805157,4.641542684599251e-32,0.4945018648955946,12.203323588198534,0.0018030104722738,0.0018030104722738,SumUeU-32-Lat-Rv-10-10000.dat,1.0
SumUeU,Lat-Rv,32,4096,12,qmc,False,11,-0.010617583219617,2.9845775537230976e-32,-0.332080867407494,32.64777696034022,0.0001127330734254,0.0001127330734254,SumUeU-32-Lat-Rv-12-10000.dat,1.0
